file_index,tile_id,unique_number,Memo,Scale,Significant,Marginal,Subtraction,Error
179,T00434,2817,nan,zscale,0,0,0,0
180,T00434,2820,nan,zscale,0,0,0,0
181,T00434,2830,nan,zscale,0,0,0,0
182,T00434,2834,nan,zscale,0,0,0,0
183,T00434,2847,nan,zscale,0,0,0,0
184,T00434,2860,nan,zscale,0,0,0,0
185,T00434,2865,nan,zscale,0,0,0,0
186,T00434,2866,nan,zscale,0,0,0,0
187,T00434,2878,nan,zscale,0,0,0,0
188,T00434,2883,nan,zscale,0,0,0,0
189,T00434,2892,nan,zscale,0,0,0,0
190,T00434,2909,nan,zscale,0,0,0,0
191,T00434,2916,nan,zscale,0,0,0,0
192,T00434,2919,nan,zscale,0,0,0,0
193,T00434,2927,nan,zscale,0,0,0,0
194,T00434,2929,nan,zscale,0,0,0,0
195,T00434,2946,nan,zscale,0,0,0,0
196,T00434,2960,nan,zscale,0,0,0,0
197,T00434,2968,nan,zscale,0,0,0,0
198,T00434,2970,nan,zscale,0,0,0,0
199,T00434,2973,nan,zscale,0,0,0,0
200,T00434,2998,nan,zscale,0,0,0,0
201,T00434,3000,nan,zscale,0,0,0,0
202,T00434,3003,nan,zscale,0,0,0,0
203,T00434,3025,nan,zscale,0,0,0,0
204,T00434,3029,nan,zscale,0,0,0,0
205,T00434,3039,nan,zscale,0,0,0,0
206,T00434,3046,nan,zscale,0,0,0,0
207,T00434,3050,nan,zscale,0,0,0,0
208,T00434,3059,nan,zscale,0,0,0,0
209,T00434,3078,nan,zscale,0,0,0,0
210,T00434,3085,nan,zscale,0,0,0,0
211,T00434,3094,nan,zscale,0,0,0,0
212,T00434,3103,nan,zscale,0,0,0,0
213,T00434,3122,nan,zscale,0,0,0,0
214,T00434,3142,nan,zscale,0,0,0,0
215,T00434,3162,nan,zscale,0,0,0,0
216,T00434,3183,nan,zscale,0,0,0,0
217,T00434,3192,nan,zscale,0,0,0,0
218,T00434,3214,nan,zscale,0,0,0,0
219,T00434,3221,nan,zscale,0,0,0,0
220,T00434,3222,nan,zscale,0,0,0,0
221,T00434,3229,nan,zscale,0,0,0,0
222,T00434,3243,nan,zscale,0,0,0,0
223,T00434,3250,nan,zscale,0,0,0,0
224,T00434,3260,nan,zscale,0,0,0,0
225,T00434,3268,nan,zscale,0,0,0,0
226,T00434,3281,nan,zscale,0,0,0,0
227,T00434,3285,nan,zscale,0,0,0,0
228,T00434,3303,nan,zscale,0,0,0,0
229,T00434,3318,nan,zscale,0,0,0,0
230,T00434,3320,nan,zscale,0,0,0,0
231,T00434,3322,nan,zscale,0,0,0,0
232,T00434,3329,nan,zscale,0,0,0,0
233,T00434,3333,nan,zscale,0,0,0,0
234,T00434,3335,nan,zscale,0,0,0,0
235,T00434,3346,nan,zscale,0,0,0,0
236,T00434,3352,nan,zscale,0,0,0,0
237,T00434,3360,nan,zscale,0,0,0,0
238,T00434,3363,nan,zscale,0,0,0,0
239,T00434,3380,nan,zscale,0,0,0,0
240,T00434,3388,nan,zscale,0,0,0,0
241,T00434,3397,nan,zscale,0,0,0,0
242,T00434,3398,nan,zscale,0,0,0,0
243,T00434,3414,nan,zscale,0,0,0,0
244,T00434,3418,nan,zscale,0,0,0,0
245,T00434,3427,nan,zscale,0,0,0,0
